Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,35.750000,38.500000,35.360001,38.500000,38.500000,139500
2020-01-03,38.000000,41.250000,36.419998,40.049999,40.049999,176000
2020-01-06,40.110001,45.000000,40.099998,44.580002,44.580002,333300
2020-01-07,47.400002,48.849998,41.180000,43.340000,43.340000,562100
2020-01-08,44.299999,46.330002,44.180000,45.099998,45.099998,193900
2020-01-09,46.549999,46.709999,42.709999,43.270000,43.270000,234900
2020-01-10,44.990002,44.990002,38.209999,39.680000,39.680000,369100
2020-01-13,41.009998,41.320000,35.259998,37.830002,37.830002,459400
2020-01-14,35.299999,35.474998,33.220001,34.529999,34.529999,266300
2020-01-15,35.299999,39.849998,33.599998,34.549999,34.549999,361000
2020-01-16,35.750000,35.900002,31.275000,32.250000,32.250000,692100
2020-01-17,33.049999,33.599998,30.330000,33.180000,33.180000,615100
2020-01-21,33.790001,36.540001,33.513000,36.540001,36.540001,264500
2020-01-22,37.610001,39.029999,36.750000,38.880001,38.880001,318200
2020-01-23,37.209999,37.549999,35.310001,36.700001,36.700001,192900
2020-01-24,35.320000,35.900002,33.566002,34.990002,34.990002,209700
2020-01-27,33.240002,34.535000,32.750000,33.200001,33.200001,120000
2020-01-28,34.040001,34.830002,32.599998,34.220001,34.220001,165200
2020-01-29,33.950001,33.950001,31.740000,31.799999,31.799999,184200
2020-01-30,30.700001,31.190001,28.580000,29.900000,29.900000,228600
2020-01-31,30.360001,30.950001,28.500000,29.209999,29.209999,138700
2020-02-03,29.799999,30.690001,28.780001,30.270000,30.270000,177600
2020-02-04,29.170000,32.919998,29.170000,32.919998,32.919998,137600
2020-02-05,34.000000,34.000000,28.690001,29.250000,29.250000,405000
2020-02-06,32.000000,32.930000,29.680000,32.930000,32.930000,387400
2020-02-07,31.879999,32.490002,30.070000,30.879999,30.879999,166700
2020-02-10,30.990000,32.150002,30.110001,32.119999,32.119999,121700
2020-02-11,31.480000,31.480000,29.799999,30.709999,30.709999,175300
2020-02-12,30.000000,31.100000,29.000000,29.559999,29.559999,157700
2020-02-13,29.510000,30.639999,29.080000,30.639999,30.639999,107100
2020-02-14,31.000000,31.570000,29.719999,30.750000,30.750000,128700
2020-02-18,30.490000,31.540001,30.260000,31.540001,31.540001,66200
2020-02-19,31.500000,32.290001,30.750000,32.250000,32.250000,253800
2020-02-20,31.719999,32.580002,31.004999,32.380001,32.380001,152200
2020-02-21,31.799999,32.459999,31.270000,32.349998,32.349998,158700
2020-02-24,30.000000,31.100000,29.139999,30.600000,30.600000,148400
2020-02-25,30.000000,33.959999,30.000000,33.439999,33.439999,201500
2020-02-26,31.850000,34.389999,31.549999,33.750000,33.750000,213300
2020-02-27,31.450001,33.970001,31.049000,33.880001,33.880001,112400
2020-02-28,33.400002,35.099998,32.849998,35.099998,35.099998,234400
2020-03-02,35.009998,36.599998,34.000000,36.599998,36.599998,185100
2020-03-03,36.650002,40.998001,36.599998,38.480000,38.480000,297900
2020-03-04,39.000000,39.299999,38.000000,39.189999,39.189999,127100
2020-03-05,37.709999,38.060001,35.639999,37.119999,37.119999,77000
2020-03-06,37.619999,40.945999,35.610001,38.090000,38.090000,279200
2020-03-09,35.150002,35.900002,32.400002,33.480000,33.480000,190200
2020-03-10,35.080002,35.830002,31.452000,33.959999,33.959999,327500
2020-03-11,33.400002,34.095001,31.000000,32.169998,32.169998,119000
2020-03-12,28.990000,30.395000,28.000000,28.549999,28.549999,184100
2020-03-13,30.000000,31.980000,29.190001,30.930000,30.930000,197600
2020-03-16,49.360001,52.799999,38.000000,40.000000,40.000000,1935900
2020-03-17,65.000000,76.000000,56.009998,66.599998,66.599998,2939800
2020-03-18,90.389999,105.000000,82.209000,92.000000,92.000000,3027000
2020-03-19,83.199997,83.329002,59.000000,59.299999,59.299999,1598500
2020-03-20,54.950001,55.000000,43.660000,46.500000,46.500000,1174000
